PC Name	User Name	Time Stamp	Active Process Name	Event Classification	KeyCode	Mouse Coordinates X	Mouse Coordinates Y
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:05.072	SkWLUSB.exe	mouse_move		0	0
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:05.490	SkWLUSB.exe	mouse_move		990	1078
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:05.924	SkWLUSB.exe	mouse_move		851	875
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:06.342	SkWLUSB.exe	mouse_move		531	476
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:06.590	SkWLUSB.exe	mouse_move		277	424
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:06.730	SkWLUSB.exe	mouse_move		288	426
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:07.148	SkWLUSB.exe	mouse_move		193	402
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:08.791	SkWLUSB.exe	mouse_move		105	343
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:09.210	SkWLUSB.exe	Left_Click		75	342
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:09.535	Explorer.EXE	Left_Click		75	342
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:09.954	Explorer.EXE	mouse_move		75	342
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:10.171	Explorer.EXE	mouse_move		98	358
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:13.410	Explorer.EXE	mouse_move		489	369
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:13.797	Explorer.EXE	mouse_move		641	382
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:14.650	dfsvc.exe	mouse_move		668	384
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:18.385	LOGIN_CONTROL_SECURE.exe	mouse_move		671	384
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:20.136	LOGIN_CONTROL_SECURE.exe	key_press	num		
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:24.630	LOGIN_CONTROL_SECURE.exe	key_press	num		
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:24.646	LOGIN_CONTROL_SECURE.exe	key_press	num		
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:24.661	LOGIN_CONTROL_SECURE.exe	key_press	num		
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:24.677	LOGIN_CONTROL_SECURE.exe	key_press	num		
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:24.692	LOGIN_CONTROL_SECURE.exe	mouse_move		675	389
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:24.692	LOGIN_CONTROL_SECURE.exe	key_press	13		
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:24.723	LOGIN_CONTROL_SECURE.exe	mouse_move		784	389
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:25.064	LOGIN_CONTROL_SECURE.exe	mouse_move		740	377
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:26.568	LOGIN_CONTROL_SECURE.exe	mouse_move		724	352
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:26.986	LOGIN_CONTROL_SECURE.exe	mouse_move		740	414
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:28.195	LOGIN_CONTROL_SECURE.exe	mouse_move		740	414
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:29.140	LOGIN_CONTROL_SECURE.exe	Left_Click		1004	362
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:29.543	LOGIN_CONTROL_SECURE.exe	Left_Click		1004	362
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:29.714	LOGIN_CONTROL_SECURE.exe	Left_Click		1004	362
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:30.086	LOGIN_CONTROL_SECURE.exe	mouse_move		1004	362
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:30.272	LOGIN_CONTROL_SECURE.exe	mouse_move		993	374
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:30.675	LOGIN_CONTROL_SECURE.exe	mouse_move		994	391
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:31.186	LOGIN_CONTROL_SECURE.exe	mouse_move		997	404
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:33.062	LOGIN_CONTROL_SECURE.exe	Left_Click		997	425
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:33.247	LOGIN_CONTROL_SECURE.exe	Left_Click		997	425
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:33.557	LOGIN_CONTROL_SECURE.exe	mouse_move		997	425
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:33.790	LOGIN_CONTROL_SECURE.exe	mouse_move		991	425
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:34.441	LOGIN_CONTROL_SECURE.exe	Left_Click		1095	773
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:35.076	LOGIN_CONTROL_SECURE.exe	mouse_move		1095	773
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:35.495	LOGIN_CONTROL_SECURE.exe	mouse_move		901	711
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:35.991	LOGIN_CONTROL_SECURE.exe	Left_Click		936	606
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:36.177	LOGIN_CONTROL_SECURE.exe	mouse_move		936	606
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:36.425	LOGIN_CONTROL_SECURE.exe	mouse_move		931	606
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:37.091	LOGIN_CONTROL_SECURE.exe	mouse_move		1002	572
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:37.432	LOGIN_CONTROL_SECURE.exe	Left_Click		1015	542
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:37.587	LOGIN_CONTROL_SECURE.exe	mouse_move		1015	542
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:37.788	LOGIN_CONTROL_SECURE.exe	mouse_move		1017	553
A17PCH009-S1TS	hiroshi_2.oonishi	2018/11/20 09:28:38.594	LOGIN_CONTROL_SECURE.exe	mouse_move		1016	554
