PC Name	User Name	Time Stamp	Active Process Name	Event Classification	KeyCode	Mouse Coordinates X	Mouse Coordinates Y
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:03.339	Explorer.EXE	mouse_move		0	0
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:04.730	Explorer.EXE	mouse_move		0	595
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:06.074	Explorer.EXE	Left_Click		60	755
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:06.308	Explorer.EXE	Left_Click		60	755
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:08.761	Explorer.EXE	mouse_move		60	755
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:09.121	Explorer.EXE	mouse_move		60	754
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:09.792	dfsvc.exe	mouse_move		60	752
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:09.933	dfsvc.exe	mouse_move		60	751
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:10.339	dfsvc.exe	mouse_move		60	743
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:10.636	Explorer.EXE	mouse_move		61	733
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:13.699	LOGIN_CONTROL_SECURE.exe	mouse_move		62	730
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:14.933	LOGIN_CONTROL_SECURE.exe	mouse_move		62	729
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:16.652	LOGIN_CONTROL_SECURE.exe	key_press	num		
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:16.683	LOGIN_CONTROL_SECURE.exe	key_press	num		
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:16.699	LOGIN_CONTROL_SECURE.exe	key_press	num		
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:16.714	LOGIN_CONTROL_SECURE.exe	key_press	num		
A16PCH575-S1TS	erika.okuda	2018/11/20 08:45:16.730	LOGIN_CONTROL_SECURE.exe	key_press	num		
