PC Name	User Name	Time Stamp	Active Process Name	Event Classification	KeyCode	Mouse Coordinates X	Mouse Coordinates Y
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:23.616	BrStMonW.exe	mouse_move		0	0
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:24.676	BrStMonW.exe	Left_Click		557	633
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:25.097	Explorer.EXE	mouse_move		557	633
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:29.476	Explorer.EXE	mouse_move		55	558
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:30.161	Explorer.EXE	Left_Click		63	459
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:30.286	Explorer.EXE	Left_Click		63	459
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:30.566	Explorer.EXE	Left_Click		63	459
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:30.925	Explorer.EXE	mouse_move		63	459
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:31.439	Explorer.EXE	mouse_move		498	609
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:32.031	Explorer.EXE	mouse_move		764	619
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:32.468	Explorer.EXE	mouse_move		753	612
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:32.795	Explorer.EXE	Left_Click		691	600
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:33.091	NOTEPAD.EXE	mouse_move		691	600
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:33.636	NOTEPAD.EXE	mouse_move		692	582
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:33.948	NOTEPAD.EXE	mouse_move		695	583
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:35.008	NOTEPAD.EXE	mouse_move		695	583
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:36.270	NOTEPAD.EXE	mouse_move		700	569
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:37.408	NOTEPAD.EXE	mouse_move		700	560
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:37.828	NOTEPAD.EXE	mouse_move		717	566
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:38.483	NOTEPAD.EXE	mouse_move		770	519
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:38.592	NOTEPAD.EXE	key_press	162		
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:39.075	NOTEPAD.EXE	key_press	char		
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:39.932	NOTEPAD.EXE	key_press	244		
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:40.493	NOTEPAD.EXE	key_press	char		
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:40.633	NOTEPAD.EXE	key_press	char		
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:40.680	NOTEPAD.EXE	key_press	char		
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:40.758	NOTEPAD.EXE	key_press	char		
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:40.820	NOTEPAD.EXE	key_press	char		
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:41.023	NOTEPAD.EXE	key_press	32		
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:41.506	NOTEPAD.EXE	key_press	13		
A17PCH010-S1TS	satomi_1.ayase	2018/11/20 08:54:41.693	NOTEPAD.EXE	key_press	13		
